student_id,age,gender,department,semester,attendance_pct,assignment_score_avg,internal_marks_avg,semester_gpa,study_hours_per_week,participation_score,prev_semester_gpa,backlogs,financial_aid,performance_category
STU-2022-0253,24,Female,ECE,5,79.32,64.89,43.45,5.73,13.4,5.64,5.08,0,False,Medium
STU-2022-0254,23,Male,CS,3,100.0,78.58,74.3,7.53,22.4,7.81,7.16,0,False,High
STU-2022-0255,23,Male,EE,1,80.4,74.64,63.96,8.29,22.1,7.74,8.41,0,True,High
STU-2022-0256,18,Male,ME,5,40.42,44.97,34.43,4.48,5.8,4.25,3.86,3,False,At Risk
STU-2022-0257,25,Female,EE,5,76.11,60.13,63.36,8.07,13.9,4.73,7.41,1,False,High
STU-2022-0258,19,Male,CS,6,46.25,44.91,22.68,5.23,12.4,4.31,4.19,5,False,At Risk
STU-2022-0259,25,Male,IT,1,97.77,75.15,94.67,9.57,17.5,6.65,9.71,0,False,High
STU-2022-0260,21,Male,CE,8,54.45,62.14,44.24,6.78,12.7,7.56,7.15,0,False,Medium
STU-2022-0261,27,Male,ECE,5,81.48,60.65,62.54,6.2,5.0,5.53,6.12,0,False,Medium
STU-2022-0262,27,Female,ME,7,30.65,62.09,33.69,5.51,2.3,5.22,4.77,2,True,At Risk
STU-2022-0263,27,Male,CE,4,88.55,68.79,70.28,7.48,10.8,9.01,7.38,0,False,High
STU-2022-0264,26,Female,ECE,1,68.62,57.4,50.47,6.47,13.7,3.88,5.91,0,False,Medium
STU-2022-0265,19,Female,ECE,2,27.09,59.82,42.87,3.79,6.6,3.14,2.42,5,True,At Risk
STU-2022-0266,19,Male,ME,3,96.96,78.32,67.16,7.39,20.5,6.66,7.07,0,False,High
STU-2022-0267,25,Female,CE,4,61.92,52.27,72.13,5.5,15.8,6.28,5.25,1,True,Medium
STU-2022-0268,21,Male,ECE,5,99.14,76.62,74.64,7.64,15.3,9.54,7.38,0,False,High
STU-2022-0269,21,Female,ME,7,34.83,30.88,52.35,4.54,5.2,3.73,3.56,0,False,At Risk
STU-2022-0270,24,Female,IT,6,73.1,70.93,78.3,6.17,17.6,8.0,5.73,0,False,High
STU-2022-0271,19,Female,CS,8,52.22,49.11,44.67,5.48,3.2,2.18,4.59,4,False,At Risk
STU-2022-0272,20,Male,ECE,3,59.96,31.92,37.87,4.17,5.5,2.96,3.87,3,False,At Risk
STU-2022-0273,23,Male,IT,6,63.53,74.5,67.79,6.47,11.9,2.46,5.84,1,True,Medium
STU-2022-0274,25,Male,ECE,7,90.0,65.85,72.82,7.07,5.0,6.06,7.0,0,False,High
STU-2022-0275,23,Female,CE,6,85.89,79.22,85.46,9.01,21.4,7.8,9.21,0,False,High
STU-2022-0276,24,Male,EE,4,75.9,62.24,81.67,7.67,23.4,9.34,7.47,0,False,High
STU-2022-0277,18,Male,ME,1,51.48,55.09,36.68,5.39,4.8,1.18,4.33,0,False,Medium
STU-2022-0278,24,Other,ME,5,49.25,42.92,53.73,3.94,1.0,3.02,2.44,4,True,At Risk
STU-2022-0279,25,Male,ME,1,70.78,52.43,54.43,5.02,7.0,4.83,4.89,1,False,Medium
STU-2022-0280,26,Male,CE,7,96.52,75.63,74.08,9.99,18.8,6.48,10.0,0,False,High
STU-2022-0281,24,Other,MBA,7,54.56,41.84,20.92,4.38,13.3,0.79,3.4,5,True,At Risk
STU-2022-0282,25,Female,EE,7,76.27,48.34,58.51,6.9,23.0,6.56,6.61,0,False,Medium
STU-2022-0283,25,Female,IT,1,72.96,65.5,62.03,6.9,9.1,3.32,7.27,0,False,Medium
STU-2022-0284,26,Male,EE,5,74.5,66.58,50.2,5.58,5.6,2.81,4.84,1,False,Medium
STU-2022-0285,23,Female,EE,8,88.2,79.05,75.38,7.36,29.3,9.67,6.86,0,False,High
STU-2022-0286,22,Female,CE,1,76.81,71.85,73.91,7.97,19.4,7.83,7.41,0,False,High
STU-2022-0287,26,Male,CE,5,73.67,27.37,48.07,5.69,16.1,2.59,5.43,2,True,Medium
STU-2022-0288,24,Female,MBA,2,77.7,77.42,44.21,6.39,21.0,6.1,5.99,1,False,Medium
STU-2022-0289,24,Other,IT,4,70.25,51.3,47.35,7.72,14.7,4.62,7.43,0,False,Medium
STU-2022-0290,18,Female,MBA,2,59.69,44.31,21.18,4.14,9.9,2.75,3.63,1,False,At Risk
STU-2022-0291,24,Female,CE,3,86.0,67.54,44.56,6.61,11.0,5.85,5.92,0,False,High
STU-2022-0292,20,Male,MBA,6,69.9,72.89,56.24,6.52,8.1,8.0,7.07,2,False,Medium
STU-2022-0293,22,Male,MBA,7,75.0,51.16,36.14,5.02,1.0,3.38,4.68,1,True,Medium
STU-2022-0294,19,Female,MBA,1,73.31,57.29,74.5,7.26,23.2,6.29,7.08,0,True,High
STU-2022-0295,22,Male,EE,2,73.77,99.16,68.82,7.28,24.5,7.08,7.13,0,False,High
STU-2022-0296,20,Female,EE,7,57.15,36.74,51.91,3.43,12.6,2.06,2.95,1,True,At Risk
STU-2022-0297,22,Female,ECE,7,77.03,40.0,50.34,7.8,11.1,3.74,7.52,0,False,Medium
STU-2022-0298,19,Female,CS,5,90.0,48.03,63.39,7.46,10.9,3.07,7.44,1,False,High
STU-2022-0299,26,Female,ECE,8,68.02,55.88,78.1,5.32,5.0,5.68,5.12,0,False,Medium
STU-2022-0300,23,Male,ME,6,47.27,35.94,43.36,3.31,5.7,4.33,2.16,2,True,At Risk
STU-2022-0301,18,Female,ME,2,69.03,75.12,63.21,6.66,7.6,5.93,6.12,0,False,Medium
STU-2022-0302,19,Male,IT,6,42.34,39.34,46.79,5.12,10.0,4.11,5.45,0,False,At Risk
STU-2022-0303,26,Female,CE,7,61.7,52.92,66.62,4.96,18.9,7.39,4.83,2,False,Medium
STU-2022-0304,21,Other,ECE,5,86.13,75.79,79.61,7.87,20.2,7.5,8.21,0,True,High
STU-2022-0305,27,Female,CS,4,86.42,83.1,63.68,7.22,19.8,6.42,7.2,0,False,High
STU-2022-0306,24,Male,ECE,3,76.86,53.66,67.64,5.27,10.8,6.39,4.81,2,False,Medium
STU-2022-0307,21,Female,CE,7,64.85,60.55,38.79,4.66,5.6,6.0,4.55,4,False,At Risk
STU-2022-0308,27,Female,CS,6,85.67,68.92,85.84,9.75,22.0,6.24,9.76,0,False,High
STU-2022-0309,20,Male,IT,6,36.87,53.07,53.37,3.5,4.0,3.47,3.63,3,False,At Risk
STU-2022-0310,25,Female,CS,3,67.84,50.06,36.23,5.3,12.7,5.39,3.87,2,True,Medium
STU-2022-0311,18,Male,IT,8,94.75,86.46,82.98,7.98,19.1,7.9,8.26,0,False,High
STU-2022-0312,23,Male,ECE,4,83.22,85.67,78.74,8.14,22.7,5.96,8.17,0,True,High
STU-2022-0313,24,Female,MBA,8,52.58,37.26,23.36,5.95,12.6,2.63,5.7,3,False,At Risk
STU-2022-0314,18,Male,ECE,7,67.15,70.97,43.28,6.5,14.1,5.16,6.55,0,False,Medium
STU-2022-0315,25,Male,ECE,1,53.86,63.08,65.51,7.06,17.0,6.05,6.49,1,True,Medium
STU-2022-0316,21,Male,ECE,3,79.67,56.14,63.29,7.5,11.8,4.46,6.51,1,False,Medium
STU-2022-0317,27,Female,ECE,7,43.42,44.5,34.98,5.21,1.0,3.92,4.87,2,False,At Risk
STU-2022-0318,19,Male,IT,2,52.95,26.95,35.79,3.67,11.1,1.6,2.78,1,False,At Risk
STU-2022-0319,24,Male,MBA,1,81.2,58.99,59.84,7.23,10.4,5.03,6.61,0,True,High
STU-2022-0320,26,Female,EE,3,37.3,49.82,36.39,3.4,7.3,2.9,3.01,4,False,At Risk
STU-2022-0321,25,Male,CE,1,72.54,64.43,70.56,6.51,24.7,3.6,5.93,0,False,High
STU-2022-0322,23,Female,CS,4,57.37,59.77,36.7,3.58,4.8,4.55,3.61,4,False,At Risk
STU-2022-0323,26,Female,ECE,7,67.68,85.0,75.7,6.4,21.2,7.58,6.82,1,False,High
STU-2022-0324,27,Female,ECE,3,50.0,72.36,45.77,5.72,12.0,7.36,5.68,0,True,Medium
STU-2022-0325,18,Male,ME,7,73.38,68.92,76.06,6.63,9.6,6.42,5.55,0,False,High
STU-2022-0326,19,Female,MBA,1,22.42,30.68,55.76,4.34,4.7,2.29,3.15,0,False,At Risk
STU-2022-0327,25,Male,CS,1,73.51,73.36,71.7,8.95,22.9,6.35,9.44,0,True,High
STU-2022-0328,19,Female,ECE,5,90.01,84.45,63.11,8.35,21.2,10.0,8.37,0,False,High
STU-2022-0329,26,Male,ME,7,84.79,71.01,67.25,8.82,27.5,8.0,8.27,0,True,High
STU-2022-0330,25,Male,ME,1,76.83,75.93,67.11,6.84,15.9,4.67,6.59,0,False,High
STU-2022-0331,27,Female,MBA,4,60.59,68.57,62.3,5.76,11.7,5.48,5.22,1,False,Medium
STU-2022-0332,27,Female,EE,4,82.95,92.84,77.79,7.96,13.9,7.18,7.86,0,False,High
STU-2022-0333,19,Male,MBA,7,76.17,55.67,79.08,6.44,12.7,7.14,6.4,1,False,Medium
STU-2022-0334,21,Male,CE,4,70.24,56.03,40.0,6.17,18.6,6.31,6.14,0,False,Medium
STU-2022-0335,20,Male,MBA,5,66.19,55.89,59.07,6.31,19.6,5.78,5.82,3,False,Medium
STU-2022-0336,27,Female,CE,7,72.69,36.7,46.36,4.51,1.0,6.0,4.66,1,True,Medium
STU-2022-0337,27,Female,CS,4,54.39,36.49,35.43,3.19,5.2,3.18,2.42,2,False,At Risk
STU-2022-0338,22,Female,IT,4,73.12,79.13,56.62,8.5,25.1,7.08,8.59,0,True,High
STU-2022-0339,21,Female,MBA,1,84.76,73.63,80.77,8.04,22.1,7.18,8.01,0,False,High
STU-2022-0340,25,Male,EE,5,89.05,76.98,58.7,6.28,22.1,6.58,5.86,0,True,High
STU-2022-0341,27,Female,ME,7,49.05,37.05,36.23,4.9,4.9,3.07,5.48,3,True,At Risk
STU-2022-0342,25,Female,EE,4,57.76,69.07,82.0,6.62,5.0,6.19,6.76,0,True,Medium
STU-2022-0343,27,Female,EE,8,84.82,72.49,77.64,8.74,13.9,7.86,9.02,0,False,High
STU-2022-0344,27,Female,ECE,3,67.85,66.24,67.84,6.17,18.7,4.81,6.13,1,False,Medium
STU-2022-0345,27,Female,CS,5,100.0,75.71,63.1,7.65,16.8,7.96,7.28,0,False,High
STU-2022-0346,22,Other,IT,8,66.61,58.03,64.69,6.39,16.0,4.62,6.59,0,True,Medium
STU-2022-0347,27,Female,CS,4,85.49,76.98,57.68,5.44,20.8,5.42,5.18,1,False,High
STU-2022-0348,24,Female,IT,8,39.29,34.83,29.22,2.77,4.8,1.69,2.0,1,False,At Risk
STU-2022-0349,22,Male,IT,5,79.59,69.25,71.29,9.19,16.6,10.0,8.94,0,True,High
STU-2022-0350,22,Male,CS,7,59.0,65.0,51.56,4.84,1.0,3.38,4.3,1,False,Medium
STU-2022-0351,25,Male,ME,2,77.56,40.44,55.5,7.89,13.2,5.98,8.33,1,False,Medium
STU-2022-0352,19,Female,MBA,4,70.45,71.9,57.83,6.92,11.6,4.53,6.75,3,True,Medium
STU-2022-0353,22,Male,CS,2,75.78,81.27,90.64,8.28,27.7,6.97,8.27,0,False,High
STU-2022-0354,24,Female,ECE,2,83.36,70.22,83.86,8.13,16.5,5.93,8.71,0,False,High
STU-2022-0355,21,Female,IT,6,72.65,45.33,60.63,6.57,17.4,5.47,6.4,2,False,Medium
STU-2022-0356,22,Male,ECE,7,65.68,63.11,53.74,6.9,5.0,4.21,6.24,0,True,Medium
STU-2022-0357,22,Male,MBA,6,72.45,67.58,78.57,6.11,15.6,2.79,4.96,0,False,High
STU-2022-0358,23,Male,EE,4,60.14,37.79,38.42,3.67,5.9,1.94,3.36,4,False,At Risk
STU-2022-0359,20,Male,CS,7,49.25,41.87,59.3,4.27,12.1,1.71,4.06,1,True,Medium
STU-2022-0360,24,Male,ECE,8,64.65,72.57,61.99,7.81,17.1,4.36,7.51,0,False,High
STU-2022-0361,26,Female,EE,8,79.0,68.03,60.9,7.78,31.8,7.83,8.06,0,False,High
STU-2022-0362,21,Female,CS,1,39.2,44.95,44.01,5.72,7.3,6.0,5.4,4,False,At Risk
STU-2022-0363,24,Female,MBA,3,44.51,46.23,60.11,4.81,9.0,2.55,3.56,1,False,Medium
STU-2022-0364,27,Male,IT,4,47.5,50.48,37.78,4.46,5.0,4.56,3.56,4,False,At Risk
STU-2022-0365,26,Male,ME,5,75.9,70.86,88.26,8.22,22.5,7.63,8.64,0,False,High
STU-2022-0366,20,Female,ECE,1,37.46,46.69,39.62,3.1,6.3,3.59,2.75,5,False,At Risk
STU-2022-0367,22,Female,MBA,5,91.04,79.6,79.78,7.75,13.7,8.1,7.13,0,True,High
STU-2022-0368,24,Male,ECE,2,68.83,61.52,55.56,6.82,13.0,6.02,6.28,0,False,Medium
STU-2022-0369,26,Female,MBA,1,61.11,26.03,49.26,3.9,3.1,6.0,3.4,4,False,At Risk
STU-2022-0370,18,Male,MBA,5,66.32,60.75,51.95,6.82,5.0,6.11,6.31,1,True,Medium
STU-2022-0371,18,Male,EE,3,59.87,70.7,58.67,7.18,15.9,4.63,6.43,1,False,Medium
STU-2022-0372,27,Male,ECE,7,82.71,63.46,65.85,6.91,18.1,5.99,6.5,0,True,High
STU-2022-0373,27,Male,CE,6,82.8,71.43,64.87,7.36,9.6,6.02,7.11,0,True,High
STU-2022-0374,20,Male,EE,4,91.78,77.07,85.12,7.71,14.4,7.26,7.87,0,False,High
STU-2022-0375,20,Male,EE,2,77.07,85.36,69.91,7.94,20.4,7.63,8.24,0,False,High
STU-2022-0376,25,Other,ME,5,87.12,100.0,76.32,7.69,11.9,6.07,8.06,0,False,High
STU-2022-0377,23,Female,CE,8,77.97,41.76,62.0,6.24,7.6,6.0,5.85,0,False,Medium
STU-2022-0378,24,Male,IT,8,44.17,22.63,46.09,2.57,5.4,3.96,2.46,3,False,At Risk
STU-2022-0379,27,Male,CE,1,60.2,49.01,43.29,4.59,8.3,5.13,4.73,4,True,At Risk
STU-2022-0380,24,Female,EE,5,89.35,74.19,75.45,8.66,25.5,8.16,8.27,0,False,High
STU-2022-0381,18,Male,ECE,3,57.98,34.82,47.42,3.92,1.0,4.6,3.41,5,False,At Risk
STU-2022-0382,22,Male,ECE,3,84.76,70.69,40.44,6.75,13.1,6.25,6.43,0,True,High
STU-2022-0383,19,Female,MBA,8,73.51,65.8,50.72,6.03,11.1,5.09,6.37,0,False,Medium
STU-2022-0384,23,Male,IT,4,68.46,60.46,57.59,5.48,10.8,5.11,4.79,1,False,Medium
STU-2022-0385,20,Female,EE,1,90.94,72.9,77.73,7.99,20.9,8.42,7.68,0,True,High
STU-2022-0386,20,Female,ECE,2,100.0,74.17,94.35,7.94,25.1,5.9,7.61,0,False,High
STU-2022-0387,21,Female,CS,1,37.16,64.63,31.24,4.42,10.2,2.34,4.35,5,False,At Risk
STU-2022-0388,22,Male,ECE,4,75.17,73.94,74.56,8.31,30.6,8.29,8.11,0,False,High
STU-2022-0389,26,Male,EE,3,66.34,70.32,62.09,5.71,14.0,6.68,5.44,1,False,Medium
STU-2022-0390,25,Male,CS,2,64.32,50.55,20.0,4.19,7.6,2.78,4.34,4,False,At Risk
STU-2022-0391,27,Female,CE,1,46.38,44.97,25.94,5.06,1.0,2.22,4.77,4,False,At Risk
STU-2022-0392,26,Male,CS,3,76.02,78.45,73.52,9.0,10.0,7.48,8.97,0,False,High
STU-2022-0393,20,Female,CS,7,67.1,51.35,52.6,6.42,23.2,7.71,5.96,1,False,Medium
STU-2022-0394,22,Female,IT,7,72.6,58.01,52.95,7.14,21.3,6.53,6.73,0,False,Medium
STU-2022-0395,27,Male,ME,6,40.4,41.03,31.07,6.31,4.2,4.23,5.65,5,False,At Risk
STU-2022-0396,20,Female,ME,6,36.1,39.4,53.56,5.61,10.5,0.54,4.79,5,False,At Risk
STU-2022-0397,20,Male,EE,4,91.89,80.01,74.15,7.8,29.4,6.66,7.49,0,False,High
STU-2022-0398,23,Male,MBA,2,78.65,65.1,53.92,5.65,9.4,5.94,5.43,1,False,Medium
STU-2022-0399,26,Male,IT,3,77.3,80.6,76.51,7.4,28.0,8.82,7.06,0,False,High
STU-2022-0400,19,Male,EE,7,65.62,63.26,48.22,8.0,18.9,5.56,7.69,2,False,Medium
STU-2022-0401,24,Female,ECE,5,91.85,82.6,69.5,8.45,18.4,8.3,8.75,0,False,High
STU-2022-0402,22,Female,CE,8,80.65,71.67,76.27,7.24,25.5,8.12,7.39,1,True,High
STU-2022-0403,22,Male,EE,1,63.32,62.98,71.04,6.29,12.8,4.89,5.88,1,True,Medium
STU-2022-0404,19,Female,CS,7,74.95,69.1,66.18,5.45,5.0,3.99,5.2,0,True,Medium
STU-2022-0405,22,Male,CS,1,90.16,78.16,57.44,8.75,21.9,8.94,8.42,0,False,High
STU-2022-0406,24,Female,CS,1,60.0,83.08,95.13,8.47,22.2,7.09,8.54,0,False,High
STU-2022-0407,18,Male,ME,2,62.42,29.48,27.54,3.27,7.0,1.16,3.25,0,True,At Risk
STU-2022-0408,22,Male,ME,4,62.76,48.11,63.0,6.22,16.1,4.99,6.36,1,False,Medium
STU-2022-0409,25,Male,IT,2,67.33,58.7,62.2,5.7,9.6,7.24,5.5,0,True,Medium
STU-2022-0410,25,Male,ECE,6,60.38,51.05,49.44,2.29,7.4,2.5,2.0,2,True,At Risk
STU-2022-0411,19,Male,CE,2,65.43,65.38,61.11,7.45,15.9,5.47,7.03,1,False,Medium
STU-2022-0412,19,Male,ECE,3,54.09,32.33,48.17,4.24,14.1,1.65,4.06,4,False,At Risk
STU-2022-0413,20,Female,IT,4,56.59,47.9,41.04,3.5,8.2,1.13,2.33,3,False,At Risk
STU-2022-0414,18,Male,ME,7,82.12,49.55,62.33,6.01,8.9,3.49,5.99,0,False,Medium
STU-2022-0415,18,Male,EE,3,72.54,71.72,68.66,5.88,13.8,6.69,6.1,1,True,Medium
STU-2022-0416,23,Male,CE,3,42.07,45.82,21.1,3.91,7.2,2.29,4.02,2,False,At Risk
STU-2022-0417,24,Male,CE,7,65.98,21.67,43.35,5.06,5.3,1.5,4.77,3,False,At Risk
STU-2022-0418,20,Male,MBA,5,62.02,44.03,62.0,3.0,5.8,3.38,2.07,4,True,At Risk
STU-2022-0419,25,Male,CE,3,84.42,86.21,64.96,8.26,26.6,7.4,8.48,1,True,High
STU-2022-0420,19,Female,ECE,5,69.13,49.41,67.87,7.32,12.0,6.23,6.94,1,False,Medium
STU-2022-0421,18,Female,CS,6,88.84,77.44,66.93,8.09,24.6,7.35,8.33,0,False,High
STU-2022-0422,24,Female,ECE,6,81.86,78.38,74.61,8.36,16.0,7.1,8.37,0,True,High
STU-2022-0423,18,Female,EE,4,61.13,56.38,41.62,6.99,15.2,4.66,6.42,0,False,Medium
STU-2022-0424,25,Male,CS,1,85.79,65.13,77.82,5.2,14.3,4.44,5.2,0,False,High
STU-2022-0425,21,Female,CE,8,94.28,82.11,77.59,8.32,30.4,6.62,8.45,0,True,High
STU-2022-0426,27,Male,CS,2,80.77,77.54,70.12,8.07,14.0,10.0,7.7,0,False,High
STU-2022-0427,25,Male,CE,2,79.31,67.38,67.16,8.42,24.9,4.47,8.87,0,False,High
STU-2022-0428,19,Male,CS,4,88.07,61.4,75.82,8.99,21.1,8.37,9.09,0,False,High
STU-2022-0429,21,Female,ME,8,79.09,62.19,58.61,6.16,12.5,7.07,5.83,0,False,Medium
STU-2022-0430,26,Female,MBA,8,74.27,74.86,69.03,7.58,23.0,6.64,8.02,0,True,High
STU-2022-0431,27,Male,MBA,3,73.9,55.14,48.87,7.72,19.2,7.0,7.83,0,True,Medium
STU-2022-0432,22,Male,ME,6,35.18,58.46,44.19,4.83,5.9,3.88,3.72,2,False,At Risk
STU-2022-0433,23,Female,CS,4,84.84,83.28,82.33,8.52,15.4,6.55,8.44,0,False,High
STU-2022-0434,26,Female,ECE,4,32.29,31.12,42.97,3.72,17.2,3.14,2.52,5,False,At Risk
STU-2022-0435,24,Male,CS,4,80.3,66.94,83.67,8.1,16.6,7.17,8.27,0,True,High
STU-2022-0436,24,Male,ME,1,85.23,79.2,76.78,8.51,26.2,7.97,8.64,0,True,High
STU-2022-0437,19,Male,CS,3,77.71,61.65,66.32,6.72,18.6,6.86,6.43,2,False,Medium
STU-2022-0438,26,Female,EE,5,79.71,77.99,84.86,8.29,20.6,7.88,8.32,0,True,High
STU-2022-0439,24,Other,CS,7,60.3,54.03,39.87,2.21,2.9,1.89,2.02,3,False,At Risk
STU-2022-0440,26,Male,EE,5,82.14,80.62,69.56,9.06,18.1,5.16,9.67,0,True,High
STU-2022-0441,18,Male,EE,8,72.06,70.03,66.46,6.7,14.0,7.12,5.73,1,True,Medium
STU-2022-0442,22,Male,ME,1,64.51,72.29,56.63,5.82,18.6,5.0,5.42,2,False,Medium
STU-2022-0443,18,Male,IT,1,20.0,65.0,51.04,3.63,7.7,3.56,2.83,3,False,At Risk
STU-2022-0444,19,Female,CS,5,51.7,46.91,20.0,5.38,9.6,2.65,4.79,2,False,At Risk
STU-2022-0445,19,Female,ME,4,100.0,81.13,81.41,8.01,18.0,7.7,8.49,0,True,High
STU-2022-0446,23,Female,MBA,3,82.52,80.48,81.29,7.92,26.1,6.84,7.72,0,False,High
STU-2022-0447,27,Male,EE,2,83.34,56.82,72.65,6.12,11.7,5.19,5.85,1,False,Medium
STU-2022-0448,18,Female,CE,5,90.29,93.52,86.3,8.95,22.3,7.92,9.11,0,True,High
STU-2022-0449,22,Male,EE,7,89.84,73.27,73.07,9.12,17.0,6.31,9.66,0,True,High
STU-2022-0450,27,Male,CS,6,48.25,38.22,25.16,4.57,8.7,1.85,3.66,1,True,At Risk
STU-2022-0451,21,Male,EE,2,78.43,76.64,64.0,7.96,26.9,6.6,8.53,0,False,High
STU-2022-0452,25,Male,CS,2,57.64,52.16,55.49,7.02,14.5,5.76,6.44,2,False,Medium
STU-2022-0453,27,Other,IT,1,72.12,72.42,61.48,8.58,28.1,7.28,8.27,0,True,High
STU-2022-0454,23,Male,ECE,1,62.24,85.0,64.37,5.78,9.0,7.59,5.6,0,False,Medium
STU-2022-0455,20,Male,ECE,5,83.73,74.1,80.96,6.0,27.7,6.4,6.12,0,False,High
STU-2022-0456,27,Male,CS,5,75.55,55.72,57.07,5.95,14.2,5.15,5.62,0,False,Medium
STU-2022-0457,18,Female,ECE,8,61.04,61.32,64.32,7.09,26.9,2.13,7.14,0,False,Medium
STU-2022-0458,27,Male,CS,5,80.54,65.41,68.0,8.07,24.9,6.46,8.0,0,True,High
STU-2022-0459,21,Female,ECE,1,68.42,79.42,72.03,8.82,10.0,7.73,8.75,0,False,High
STU-2022-0460,20,Female,CS,6,83.18,66.57,57.49,6.0,15.0,5.59,5.47,0,False,High
STU-2022-0461,26,Male,CS,4,63.37,74.28,47.91,5.73,7.3,5.36,6.28,0,True,Medium
STU-2022-0462,18,Male,MBA,4,83.94,70.16,72.83,6.05,25.9,7.3,5.33,0,False,High
STU-2022-0463,27,Male,ECE,8,80.36,66.21,73.14,7.02,10.6,7.37,7.16,0,False,High
STU-2022-0464,22,Male,ME,4,65.61,57.85,48.74,6.67,17.8,6.52,6.42,0,True,Medium
STU-2022-0465,22,Female,CE,4,73.21,71.64,81.52,8.5,22.8,10.0,8.31,0,False,High
STU-2022-0466,19,Male,EE,5,84.4,75.39,77.0,9.26,23.9,7.05,9.11,0,False,High
STU-2022-0467,19,Male,ME,8,75.0,70.24,43.48,5.95,14.8,2.0,6.45,2,True,Medium
STU-2022-0468,24,Male,ECE,6,64.89,57.36,67.82,6.18,8.5,4.15,5.84,1,False,Medium
STU-2022-0469,23,Male,CS,6,66.94,73.77,63.45,6.82,20.6,3.95,6.2,1,False,Medium
STU-2022-0470,24,Female,ME,1,66.89,72.52,85.79,8.63,10.7,6.7,8.4,0,True,High
STU-2022-0471,24,Female,MBA,7,47.17,48.11,31.56,5.3,8.7,4.36,4.43,4,True,At Risk
STU-2022-0472,21,Male,CE,3,70.31,78.89,76.7,7.48,13.0,4.95,6.61,1,False,High
STU-2022-0473,21,Male,IT,1,62.36,52.16,37.29,4.52,12.0,2.9,3.86,2,False,Medium
STU-2022-0474,19,Female,ECE,6,53.1,58.7,59.73,6.1,5.4,4.33,6.74,0,False,Medium
STU-2022-0475,25,Male,ME,2,90.0,51.16,60.07,5.86,15.5,3.59,5.99,1,True,Medium
STU-2022-0476,24,Male,CE,7,90.0,62.85,55.61,5.05,15.0,7.94,4.81,0,False,Medium
STU-2022-0477,27,Female,EE,5,32.68,52.24,47.83,3.87,13.5,2.27,3.29,1,True,At Risk
STU-2022-0478,21,Female,CE,4,59.22,36.11,46.1,4.15,13.2,3.81,4.35,0,False,Medium
STU-2022-0479,18,Male,CS,1,82.44,63.76,68.48,8.53,30.6,7.38,8.63,0,False,High
STU-2022-0480,27,Female,CS,5,81.52,63.51,62.98,5.87,17.5,8.0,5.27,1,False,Medium
STU-2022-0481,18,Male,IT,6,51.9,62.94,50.76,7.3,12.8,5.7,7.1,0,False,Medium
STU-2022-0482,22,Female,EE,6,63.49,56.12,41.47,5.58,4.3,3.12,4.62,5,True,At Risk
STU-2022-0483,25,Male,CE,2,81.77,71.62,53.08,6.88,15.5,7.36,6.75,0,False,High
STU-2022-0484,26,Female,CS,5,79.95,71.15,70.1,7.0,20.7,8.44,7.41,0,False,High
STU-2022-0485,23,Male,CS,3,54.84,48.28,57.89,7.64,11.3,4.36,6.97,1,True,Medium
STU-2022-0486,22,Female,CE,7,85.24,73.65,72.99,8.64,20.4,7.31,8.63,0,False,High
STU-2022-0487,27,Male,MBA,4,75.74,70.52,72.8,6.29,5.0,5.9,6.14,2,False,Medium
STU-2022-0488,27,Male,CE,5,82.23,79.52,81.07,7.18,18.9,8.7,7.02,0,False,High
STU-2022-0489,23,Female,EE,5,50.0,59.69,61.36,6.46,13.3,5.56,6.67,0,True,Medium
STU-2022-0490,18,Other,CS,6,47.71,44.9,54.42,4.48,8.0,0.24,4.32,5,True,At Risk
STU-2022-0491,23,Male,CS,1,84.64,68.14,87.13,7.25,21.0,6.25,7.42,0,True,High
STU-2022-0492,21,Male,ME,1,68.69,60.06,48.38,5.9,18.3,5.62,5.83,0,False,Medium
STU-2022-0493,25,Female,EE,4,68.09,63.83,54.25,6.01,10.1,6.4,5.24,2,False,Medium
STU-2022-0494,20,Male,EE,5,54.37,54.19,26.71,4.88,7.2,5.6,3.95,3,True,At Risk
STU-2022-0495,20,Male,EE,5,82.72,77.15,100.0,8.02,24.6,6.72,8.11,0,False,High
STU-2022-0496,18,Female,ME,5,83.09,79.02,75.01,7.52,22.2,7.73,8.1,0,True,High
STU-2022-0497,27,Male,CS,7,80.22,50.84,60.2,8.1,16.8,6.18,8.64,0,True,High
STU-2022-0498,18,Male,MBA,8,64.95,60.59,62.0,4.98,9.4,1.52,5.01,3,True,Medium
STU-2022-0499,24,Male,EE,5,51.08,61.46,40.53,5.78,5.0,5.74,5.9,0,False,Medium
STU-2022-0500,18,Male,ECE,8,88.28,66.95,61.61,6.64,19.4,7.14,6.45,0,True,High
STU-2023-0501,25,Female,CS,3,75.81,65.53,71.38,6.55,14.5,5.74,6.99,3,True,Medium
STU-2023-0502,20,Female,CS,7,82.52,78.96,75.25,9.57,19.7,6.4,9.57,0,True,High
STU-2023-0503,20,Male,IT,6,79.13,59.71,46.09,5.34,19.5,4.93,5.62,0,True,Medium
STU-2023-0504,22,Male,MBA,1,97.58,76.24,76.16,7.93,23.1,6.33,8.18,0,False,High
STU-2023-0505,25,Female,ME,5,30.17,31.52,55.06,4.41,5.4,3.93,4.16,4,False,At Risk
STU-2023-0506,18,Male,EE,2,100.0,82.09,73.38,7.28,23.3,7.46,6.82,1,True,High
